Vardas                                  Pavarde                                 ND0                 ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 Egz       
Vardas9146                              Pavarde9146                             8                   9                   6                   5                   5                   9                   1                   9                   
Vardas9147                              Pavarde9147                             1                   7                   1                   3                   9                   6                   0                   7                   
Vardas9148                              Pavarde9148                             1                   6                   0                   9                   8                   2                   0                   7                   
Vardas9149                              Pavarde9149                             4                   1                   7                   4                   1                   1                   1                   6                   
Vardas9150                              Pavarde9150                             9                   0                   7                   1                   3                   5                   9                   7                   
Vardas9151                              Pavarde9151                             0                   3                   7                   5                   2                   4                   5                   9                   
Vardas9152                              Pavarde9152                             4                   4                   7                   4                   2                   8                   5                   4                   
Vardas9153                              Pavarde9153                             8                   6                   5                   1                   6                   3                   3                   6                   
Vardas9154                              Pavarde9154                             7                   2                   4                   5                   7                   0                   4                   7                   
Vardas9155                              Pavarde9155                             7                   6                   8                   7                   3                   7                   1                   6                   
Vardas9156                              Pavarde9156                             6                   5                   7                   1                   1                   8                   5                   9                   
Vardas9157                              Pavarde9157                             0                   3                   1                   3                   2                   4                   3                   0                   
Vardas9158                              Pavarde9158                             0                   0                   1                   5                   8                   0                   2                   7                   
Vardas9159                              Pavarde9159                             3                   2                   0                   7                   7                   4                   0                   7                   
Vardas9160                              Pavarde9160                             2                   1                   5                   8                   0                   4                   3                   0                   
Vardas9161                              Pavarde9161                             7                   6                   9                   2                   7                   6                   8                   7                   
Vardas9162                              Pavarde9162                             8                   7                   3                   5                   1                   4                   1                   2                   
Vardas9163                              Pavarde9163                             1                   8                   7                   7                   0                   1                   0                   9                   
Vardas9164                              Pavarde9164                             3                   0                   0                   9                   6                   7                   2                   8                   
Vardas9165                              Pavarde9165                             1                   3                   3                   4                   8                   8                   8                   7                   
Vardas9166                              Pavarde9166                             0                   3                   4                   0                   5                   4                   7                   3                   
Vardas9167                              Pavarde9167                             1                   6                   1                   5                   3                   0                   1                   4                   
Vardas9168                              Pavarde9168                             9                   2                   6                   3                   7                   5                   8                   6                   
Vardas9169                              Pavarde9169                             0                   3                   3                   6                   4                   1                   8                   3                   
Vardas9170                              Pavarde9170                             6                   2                   4                   6                   4                   0                   3                   6                   
Vardas9171                              Pavarde9171                             2                   7                   4                   5                   5                   4                   9                   2                   
Vardas9172                              Pavarde9172                             7                   3                   9                   7                   4                   8                   3                   8                   
Vardas9173                              Pavarde9173                             1                   8                   5                   8                   7                   1                   4                   3                   
Vardas9174                              Pavarde9174                             3                   3                   4                   8                   7                   7                   1                   5                   
Vardas9175                              Pavarde9175                             9                   8                   1                   4                   5                   1                   4                   3                   
Vardas9176                              Pavarde9176                             3                   3                   2                   5                   6                   5                   2                   7                   
Vardas9177                              Pavarde9177                             6                   7                   8                   5                   6                   6                   8                   9                   
Vardas9178                              Pavarde9178                             3                   9                   7                   1                   4                   3                   8                   2                   
Vardas9179                              Pavarde9179                             1                   7                   2                   1                   4                   7                   6                   3                   
Vardas9180                              Pavarde9180                             8                   2                   8                   3                   4                   6                   5                   6                   
Vardas9181                              Pavarde9181                             1                   5                   3                   1                   6                   0                   4                   0                   
Vardas9182                              Pavarde9182                             4                   1                   9                   9                   9                   7                   8                   7                   
Vardas9183                              Pavarde9183                             6                   2                   5                   0                   7                   9                   1                   4                   
Vardas9184                              Pavarde9184                             9                   8                   0                   9                   3                   5                   1                   7                   
Vardas9185                              Pavarde9185                             1                   2                   3                   3                   4                   6                   4                   9                   
Vardas9186                              Pavarde9186                             2                   7                   6                   0                   3                   7                   6                   2                   
Vardas9187                              Pavarde9187                             7                   0                   3                   6                   7                   1                   5                   1                   
Vardas9188                              Pavarde9188                             8                   1                   4                   3                   4                   8                   1                   3                   
Vardas9189                              Pavarde9189                             3                   1                   3                   2                   3                   0                   5                   7                   
Vardas9190                              Pavarde9190                             5                   7                   0                   1                   3                   9                   2                   1                   
Vardas9191                              Pavarde9191                             7                   4                   8                   1                   8                   0                   7                   2                   
Vardas9192                              Pavarde9192                             2                   2                   2                   3                   8                   5                   0                   1                   
Vardas9193                              Pavarde9193                             0                   7                   8                   9                   1                   8                   0                   8                   
Vardas9194                              Pavarde9194                             8                   4                   8                   1                   5                   5                   7                   7                   
Vardas9195                              Pavarde9195                             8                   5                   6                   6                   8                   6                   2                   6                   
Vardas9196                              Pavarde9196                             2                   5                   5                   8                   9                   6                   0                   8                   
Vardas9197                              Pavarde9197                             8                   3                   5                   1                   6                   2                   7                   0                   
Vardas9198                              Pavarde9198                             6                   6                   4                   9                   3                   7                   2                   4                   
Vardas9199                              Pavarde9199                             2                   4                   6                   9                   4                   4                   5                   6                   
Vardas9200                              Pavarde9200                             5                   6                   1                   8                   6                   1                   0                   8                   
Vardas9201                              Pavarde9201                             4                   5                   0                   2                   9                   8                   5                   2                   
Vardas9202                              Pavarde9202                             9                   8                   6                   7                   3                   3                   0                   7                   
Vardas9203                              Pavarde9203                             5                   9                   1                   8                   3                   8                   8                   8                   
Vardas9204                              Pavarde9204                             5                   1                   7                   6                   2                   4                   9                   7                   
Vardas9205                              Pavarde9205                             4                   9                   1                   3                   9                   3                   9                   2                   
Vardas9206                              Pavarde9206                             2                   5                   2                   4                   3                   1                   1                   4                   
Vardas9207                              Pavarde9207                             1                   7                   8                   5                   5                   4                   6                   3                   
Vardas9208                              Pavarde9208                             5                   9                   5                   7                   0                   3                   8                   2                   
Vardas9209                              Pavarde9209                             5                   2                   0                   9                   1                   2                   6                   3                   
Vardas9210                              Pavarde9210                             1                   8                   9                   4                   9                   4                   5                   9                   
Vardas9211                              Pavarde9211                             2                   5                   4                   0                   9                   2                   2                   5                   
Vardas9212                              Pavarde9212                             2                   4                   0                   4                   0                   2                   9                   5                   
Vardas9213                              Pavarde9213                             8                   2                   1                   7                   7                   0                   7                   3                   
Vardas9214                              Pavarde9214                             9                   7                   3                   1                   1                   3                   6                   9                   
Vardas9215                              Pavarde9215                             6                   1                   4                   4                   1                   4                   8                   1                   
Vardas9216                              Pavarde9216                             4                   0                   1                   6                   3                   4                   6                   8                   
Vardas9217                              Pavarde9217                             7                   8                   6                   4                   1                   9                   0                   7                   
Vardas9218                              Pavarde9218                             1                   5                   5                   2                   4                   2                   1                   1                   
Vardas9219                              Pavarde9219                             1                   5                   7                   1                   4                   4                   5                   8                   
Vardas9220                              Pavarde9220                             0                   3                   4                   0                   1                   1                   3                   7                   
Vardas9221                              Pavarde9221                             8                   0                   0                   1                   2                   6                   7                   1                   
Vardas9222                              Pavarde9222                             1                   4                   5                   0                   4                   1                   0                   7                   
Vardas9223                              Pavarde9223                             6                   4                   0                   5                   7                   3                   3                   5                   
Vardas9224                              Pavarde9224                             3                   9                   7                   9                   9                   2                   2                   6                   
Vardas9225                              Pavarde9225                             8                   4                   4                   3                   5                   1                   3                   0                   
Vardas9226                              Pavarde9226                             9                   7                   3                   6                   9                   9                   0                   3                   
Vardas9227                              Pavarde9227                             8                   6                   3                   6                   6                   6                   5                   6                   
Vardas9228                              Pavarde9228                             6                   9                   7                   2                   6                   1                   2                   5                   
Vardas9229                              Pavarde9229                             0                   6                   6                   2                   4                   3                   5                   3                   
Vardas9230                              Pavarde9230                             8                   1                   2                   4                   9                   2                   0                   7                   
Vardas9231                              Pavarde9231                             5                   1                   9                   7                   1                   7                   2                   1                   
Vardas9232                              Pavarde9232                             2                   0                   8                   3                   1                   5                   4                   7                   
Vardas9233                              Pavarde9233                             6                   1                   7                   1                   6                   1                   6                   2                   
Vardas9234                              Pavarde9234                             2                   3                   3                   1                   7                   3                   6                   6                   
Vardas9235                              Pavarde9235                             7                   9                   4                   6                   2                   3                   6                   7                   
Vardas9236                              Pavarde9236                             2                   0                   2                   7                   5                   3                   3                   9                   
Vardas9237                              Pavarde9237                             2                   1                   7                   9                   2                   8                   6                   5                   
Vardas9238                              Pavarde9238                             3                   0                   1                   9                   7                   5                   5                   4                   
Vardas9239                              Pavarde9239                             0                   3                   3                   1                   8                   6                   9                   6                   
Vardas9240                              Pavarde9240                             2                   9                   0                   0                   4                   2                   7                   5                   
Vardas9241                              Pavarde9241                             0                   6                   8                   9                   3                   0                   7                   9                   
Vardas9242                              Pavarde9242                             9                   6                   5                   5                   1                   3                   5                   3                   
Vardas9243                              Pavarde9243                             2                   0                   1                   7                   0                   4                   4                   2                   
Vardas9244                              Pavarde9244                             1                   8                   1                   5                   8                   5                   5                   2                   
Vardas9245                              Pavarde9245                             7                   6                   6                   6                   0                   8                   5                   6                   
Vardas9246                              Pavarde9246                             8                   8                   9                   8                   8                   1                   7                   6                   
Vardas9247                              Pavarde9247                             7                   8                   0                   4                   9                   9                   4                   2                   
Vardas9248                              Pavarde9248                             1                   1                   9                   8                   9                   2                   3                   7                   
Vardas9249                              Pavarde9249                             1                   7                   3                   9                   2                   0                   0                   8                   
Vardas9250                              Pavarde9250                             7                   5                   7                   9                   6                   2                   0                   7                   
Vardas9251                              Pavarde9251                             8                   8                   1                   9                   2                   2                   2                   3                   
Vardas9252                              Pavarde9252                             2                   5                   0                   1                   6                   4                   7                   3                   
Vardas9253                              Pavarde9253                             9                   7                   1                   2                   0                   0                   8                   7                   
Vardas9254                              Pavarde9254                             1                   0                   2                   9                   3                   0                   4                   0                   
Vardas9255                              Pavarde9255                             8                   8                   4                   2                   6                   5                   6                   4                   
Vardas9256                              Pavarde9256                             7                   7                   9                   8                   1                   9                   6                   7                   
Vardas9257                              Pavarde9257                             6                   6                   6                   3                   7                   1                   5                   4                   
Vardas9258                              Pavarde9258                             6                   8                   9                   9                   1                   6                   7                   8                   
Vardas9259                              Pavarde9259                             2                   3                   5                   0                   8                   8                   0                   4                   
Vardas9260                              Pavarde9260                             4                   7                   3                   5                   0                   9                   0                   5                   
Vardas9261                              Pavarde9261                             1                   4                   2                   8                   4                   4                   6                   7                   
Vardas9262                              Pavarde9262                             6                   9                   7                   0                   2                   2                   2                   9                   
Vardas9263                              Pavarde9263                             0                   6                   7                   0                   4                   3                   6                   6                   
Vardas9264                              Pavarde9264                             0                   6                   2                   2                   7                   5                   0                   3                   
Vardas9265                              Pavarde9265                             3                   2                   8                   5                   1                   3                   0                   5                   
Vardas9266                              Pavarde9266                             0                   6                   3                   7                   4                   2                   5                   2                   
Vardas9267                              Pavarde9267                             2                   9                   1                   5                   4                   9                   6                   5                   
Vardas9268                              Pavarde9268                             3                   3                   1                   0                   8                   8                   7                   4                   
Vardas9269                              Pavarde9269                             2                   4                   7                   0                   7                   5                   4                   8                   
Vardas9270                              Pavarde9270                             8                   2                   9                   6                   7                   8                   7                   9                   
Vardas9271                              Pavarde9271                             7                   1                   5                   6                   2                   6                   7                   6                   
Vardas9272                              Pavarde9272                             9                   5                   5                   0                   8                   8                   5                   5                   
Vardas9273                              Pavarde9273                             7                   4                   0                   7                   1                   9                   0                   2                   
Vardas9274                              Pavarde9274                             4                   8                   2                   0                   3                   8                   4                   0                   
Vardas9275                              Pavarde9275                             7                   4                   1                   0                   6                   4                   1                   1                   
Vardas9276                              Pavarde9276                             9                   3                   0                   9                   2                   7                   4                   3                   
Vardas9277                              Pavarde9277                             1                   8                   0                   8                   7                   7                   4                   6                   
Vardas9278                              Pavarde9278                             8                   2                   5                   1                   0                   4                   3                   0                   
Vardas9279                              Pavarde9279                             5                   4                   0                   0                   7                   6                   5                   8                   
Vardas9280                              Pavarde9280                             3                   9                   5                   9                   0                   8                   8                   5                   
Vardas9281                              Pavarde9281                             8                   8                   0                   9                   7                   7                   2                   1                   
Vardas9282                              Pavarde9282                             6                   8                   5                   6                   2                   7                   2                   8                   
Vardas9283                              Pavarde9283                             1                   6                   7                   7                   0                   2                   2                   3                   
Vardas9284                              Pavarde9284                             7                   6                   2                   9                   0                   0                   7                   4                   
Vardas9285                              Pavarde9285                             8                   6                   3                   8                   2                   5                   8                   4                   
Vardas9286                              Pavarde9286                             9                   4                   4                   7                   9                   9                   2                   8                   
Vardas9287                              Pavarde9287                             2                   7                   8                   8                   1                   7                   3                   2                   
Vardas9288                              Pavarde9288                             9                   8                   0                   3                   7                   2                   1                   0                   
Vardas9289                              Pavarde9289                             5                   1                   5                   5                   9                   9                   2                   6                   
Vardas9290                              Pavarde9290                             7                   2                   2                   0                   7                   6                   7                   8                   
Vardas9291                              Pavarde9291                             7                   3                   2                   5                   5                   0                   9                   6                   
Vardas9292                              Pavarde9292                             3                   9                   7                   2                   6                   9                   0                   4                   
Vardas9293                              Pavarde9293                             1                   0                   2                   6                   6                   7                   9                   4                   
Vardas9294                              Pavarde9294                             6                   8                   4                   8                   8                   5                   6                   2                   
Vardas9295                              Pavarde9295                             9                   2                   7                   7                   9                   8                   6                   4                   
Vardas9296                              Pavarde9296                             8                   5                   5                   4                   8                   8                   2                   9                   
Vardas9297                              Pavarde9297                             3                   1                   2                   7                   5                   7                   5                   8                   
Vardas9298                              Pavarde9298                             1                   5                   0                   9                   6                   1                   2                   8                   
Vardas9299                              Pavarde9299                             8                   3                   1                   9                   2                   2                   6                   0                   
Vardas9300                              Pavarde9300                             2                   3                   3                   5                   1                   1                   4                   7                   
Vardas9301                              Pavarde9301                             3                   7                   8                   9                   5                   2                   9                   0                   
Vardas9302                              Pavarde9302                             7                   2                   7                   0                   6                   2                   8                   0                   
Vardas9303                              Pavarde9303                             7                   7                   6                   1                   1                   4                   0                   9                   
Vardas9304                              Pavarde9304                             9                   1                   6                   8                   3                   1                   4                   9                   
Vardas9305                              Pavarde9305                             9                   3                   0                   3                   3                   1                   2                   4                   
Vardas9306                              Pavarde9306                             0                   7                   2                   7                   2                   0                   2                   4                   
Vardas9307                              Pavarde9307                             1                   7                   8                   7                   3                   4                   5                   3                   
Vardas9308                              Pavarde9308                             9                   9                   3                   1                   9                   5                   7                   4                   
Vardas9309                              Pavarde9309                             4                   3                   9                   1                   5                   4                   2                   3                   
Vardas9310                              Pavarde9310                             0                   7                   2                   9                   8                   1                   8                   3                   
Vardas9311                              Pavarde9311                             0                   3                   0                   1                   0                   0                   1                   9                   
Vardas9312                              Pavarde9312                             3                   0                   3                   4                   4                   4                   9                   9                   
Vardas9313                              Pavarde9313                             7                   3                   2                   9                   7                   5                   1                   3                   
Vardas9314                              Pavarde9314                             9                   9                   0                   5                   9                   7                   5                   9                   
Vardas9315                              Pavarde9315                             5                   4                   8                   7                   3                   4                   7                   7                   
Vardas9316                              Pavarde9316                             7                   7                   0                   3                   4                   1                   9                   6                   
Vardas9317                              Pavarde9317                             8                   8                   6                   9                   9                   3                   0                   6                   
Vardas9318                              Pavarde9318                             4                   6                   2                   4                   3                   8                   8                   1                   
Vardas9319                              Pavarde9319                             6                   4                   0                   4                   2                   8                   0                   9                   
Vardas9320                              Pavarde9320                             7                   9                   5                   3                   3                   8                   5                   8                   
Vardas9321                              Pavarde9321                             2                   5                   3                   7                   5                   3                   3                   8                   
Vardas9322                              Pavarde9322                             5                   4                   1                   7                   4                   4                   9                   0                   
Vardas9323                              Pavarde9323                             7                   4                   8                   4                   3                   3                   6                   0                   
Vardas9324                              Pavarde9324                             5                   6                   6                   9                   6                   7                   0                   4                   
Vardas9325                              Pavarde9325                             3                   2                   3                   8                   1                   2                   4                   7                   
Vardas9326                              Pavarde9326                             5                   2                   0                   8                   2                   8                   3                   9                   
Vardas9327                              Pavarde9327                             1                   5                   1                   5                   5                   5                   2                   2                   
Vardas9328                              Pavarde9328                             9                   3                   5                   2                   3                   1                   5                   6                   
Vardas9329                              Pavarde9329                             3                   3                   2                   8                   3                   1                   3                   8                   
Vardas9330                              Pavarde9330                             1                   8                   9                   4                   7                   5                   6                   4                   
Vardas9331                              Pavarde9331                             9                   1                   5                   2                   9                   1                   6                   2                   
Vardas9332                              Pavarde9332                             5                   3                   1                   6                   1                   6                   0                   5                   
